"year","title","venue","url","freq","IF","name"
"2006","Personal Heart Monitoring System Using Smart Phones To Detect Life Threatening Arrhythmias.","CBMS","http://dx.doi.org/10.1109/CBMS.2006.128",1,0.000000,"IEEE Symposium on Computer-Based Medical Systems (CBMS)"
"2006","Neural network based arrhythmia classification using Heart Rate Variability signal.","EUSIPCO","http://dblp.org/rec/conf/eusipco/AslS06",5,0.000000,"European Signal Processing Conference (EUSIPCO)"
"2006","Fuzzy logic based system for classification of atrial fibrillation cardiac arrhythmias.","ICECS","http://dx.doi.org/10.1109/ICECS.2006.379796",2,0.000000,"International Conference on Environmental and Computer Science (ICECS)"
"2006","Derivation of Atrial Surface Reentries Applying ICA to the Standard Electrocardiogram of Patients in Postoperative Atrial Fibrillation.","ICA","http://dx.doi.org/10.1007/11679363_60",4,0.000000,"Independent Component Analysis (ICA)"
"2006","Wavelet Denoising as Preprocessing Stage to Improve ICA Performance in Atrial Fibrillation Analysis.","ICA","http://dx.doi.org/10.1007/11679363_61",4,0.000000,"Independent Component Analysis (ICA)"
"2006","Performance Study of Convolutive BSS Algorithms Applied to the Electrocardiogram of Atrial Fibrillation.","ICA","http://dx.doi.org/10.1007/11679363_62",4,0.000000,"Independent Component Analysis (ICA)"
"2006","Optimal Localization of Leads in Atrial Fibrillation Episodes.","ICASSP","http://dx.doi.org/10.1109/ICASSP.2006.1660562",4,0.000000,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)"
"2006","Independent Component Analysis of Body Surface Potential Mapping Recordings with Atrial Fibrillation.","IJCNN","http://dx.doi.org/10.1109/IJCNN.2006.247027",2,0.000000,"IEEE International Joint Conference on Neural Network (IJCNN)"
"2006","Risk Factor Interactions and Genetic Effects Associated with Post-Operative Atrial Fibrillation.","Pacific Symposium on Biocomputing","http://dblp.org/rec/conf/psb/MotsingerDBRR06",1,0.000000,"Pacific Symposium on Biocomputing (PSB)"
"2006","Bootstrap feature selection in support vector machines for ventricular fibrillation detection.","ESANN","http://dblp.org/rec/conf/esann/AtienzaRCMG06",1,0.000000,"The European Symposium on Artificial Neural Networks (ESANN)"
"2007","Is There Any Place for Magnetocardiographic Imaging in the Era of Robotic Ablation of Cardiac Arrhythmias?","FIMH","http://dx.doi.org/10.1007/978-3-540-72907-5_24",8,0.000000,"Functional Imaging and Modeling of the Heart (FIMH)"
"2007","Towards Noninvasive 3D Imaging of Cardiac Arrhythmias.","FIMH","http://dx.doi.org/10.1007/978-3-540-72907-5_29",8,0.000000,"Functional Imaging and Modeling of the Heart (FIMH)"
"2007","Ventricular Arrhythmia Nonlinear Analysis.","IPC","http://dx.doi.org/10.1109/IPC.2007.37",1,0.000000,"International Professional Communication Conference (IPCC)"
"2007","Atrial Arrhythmias Detection Based on Neural Network Combining Fuzzy Classifiers.","ISNN","http://dx.doi.org/10.1007/978-3-540-72393-6_35",1,0.000000,"International Symposium on Neural Networks (ISNN)"
"2007","Detection of an electrocardiogram R wave based on the multiscale products : MIT/BIH arrhythmia and Qt databases evaluation.","ISSPA","http://dx.doi.org/10.1109/ISSPA.2007.4555551",1,0.000000,"International Conference on Information Sciences, Signal Processing and their Applications (ISSPA)"
"2007","A New Neural Network with Adaptive Activation Function for Classification of ECG Arrhythmias.","KES","http://dx.doi.org/10.1007/978-3-540-74819-9_1",1,0.000000,"Agent and Multi-Agent Systems: Technologies and Applications (KES-AMSTA)"
"2007","A Genetic Programming Approach for Classification of the Spontaneous Termination of Atrial Fibrillation.","BIOCOMP","http://dblp.org/rec/conf/biocomp/ValenzuelaRRCR07",2,0.000000,"International Conference on Bioinformatics & Computational Biology (BIOCOMP)"
"2007","Joint Reconstruction and Registration Using Level Sets: Application to the Computer-Aided Ablation of Atrial Fibrillation.","FBIT","http://dx.doi.org/10.1109/FBIT.2007.103",1,0.000000,"Frontiers in the Convergence of Bioscience and Information Technologies (FBIT)"
"2007","Evaluation of Propofol Effects in Atrial Fibrillation Using Principal and Independent Component Analysis.","ICA","http://dx.doi.org/10.1007/978-3-540-74494-8_71",4,0.000000,"Independent Component Analysis (ICA)"
"2007","The Computation of Atrial Fibrillation Chaos Characteristics Based on Wavelet Analysis.","ICIC","http://dx.doi.org/10.1007/978-3-540-74171-8_80",3,0.000000,"International Conference on Intelligent Computing (ICIC)"
"2007","Ventricular Tachycardia/Fibrillation Detection Algorithm for 24/7 Personal Wireless Heart Monitoring.","ICOST","http://dx.doi.org/10.1007/978-3-540-73035-4_12",1,0.000000,"International Conference on Smart Homes and Health Telematics (ICOST)"
"2007","Transductive Support Vector Machines for Risk Recognition of Sustained Ventricular Tachycardia and Flicker after Myocardial Infarction.","PRIS","http://dblp.org/rec/conf/pris/JankowskiPSO07",1,0.000000,"Pattern Recognition in Information Systems (PRIS)"
"2008","Discrimination of Ventricular Arrhythmias Using NEWFM.","AIRS","http://dx.doi.org/10.1007/978-3-540-68636-1_17",1,0.000000,"Asia Information Retrieval Symposium (AIRS)"
"2008","Improving an Automatic Arrhythmias Recogniser Based in ECG Signals.","BIOSIGNALS","http://dblp.org/rec/conf/biostec/CorsinoTAF08",14,0.000000,"International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)"
"2008","Cardiac Arrhythmia Detection based on Signal Variation Characteristic.","BMEI","http://dx.doi.org/10.1109/BMEI.2008.294",6,0.000000,"International Conference on BioMedical Engineering and Informatics (BMEI)"
"2008","Continuous Monitoring of Children with Suspected Cardiac Arrhythmias.","eHealth","http://dx.doi.org/10.1007/978-3-642-00413-1_1",1,0.000000,"European Conference on eHealth (ECEH)"
"2008","Detecting Ventricular Arrhythmias by NEWFM.","GrC","http://dx.doi.org/10.1109/GRC.2008.4664646",1,0.000000,"IEEE International Conference on Granular Computing (GrC)"
"2008","Arrhythmias Classification with MLP Neural Network and Statistical Analysis.","ICETET","http://dblp.org/rec/conf/icetet/RautD08",1,0.000000,"International Conference on Emerging Trends in Engineering & Technology (ICETET)"
"2008","Comparison of PVC Arrhythmia Detection Via Neural Networks and ANFIS.","ICNSC","http://dx.doi.org/10.1109/ICNSC.2008.4525451",1,0.000000,"International Conference on Networking, Sensing and Control (ICNSC)"
"2008","Detection of Long Term Variations of Heart Rate Variability in Normal Sinus Rhythm and Atrial Fibrillation ECG Data.","BMEI","http://dx.doi.org/10.1109/BMEI.2008.273",6,0.000000,"International Conference on BioMedical Engineering and Informatics (BMEI)"
"2008","Development of Epicardial Mapping System for Studying Atrial Fibrillation.","BMEI","http://dx.doi.org/10.1109/BMEI.2008.46",6,0.000000,"International Conference on BioMedical Engineering and Informatics (BMEI)"
"2008","Atrial signal extraction in atrial fibrillation ECGs exploiting spatial constraints.","EUSIPCO","http://dblp.org/rec/conf/eusipco/BonizziPZMF08",5,0.000000,"European Signal Processing Conference (EUSIPCO)"
"2008","Detection of Atrial Fibrillation using model-based ECG analysis.","ICPR","http://dx.doi.org/10.1109/ICPR.2008.4761755",2,0.000000,"International Conference on Pattern Recognition (ICPR)"
"2009","Hybrid SVM for Multiclass Arrhythmia Classification.","BIBM","http://dx.doi.org/10.1109/BIBM.2009.73",4,0.000000,"IEEE International Conference on Bioinformatics and Biomedicine (BIBM)"
"2009","Heart Arrhythmia Diagnosis By ECG Signal Analysis with Wavelet and Neural Network.","BIOCOMP","http://dblp.org/rec/conf/biocomp/HosseiniG09",2,0.000000,"International Conference on Bioinformatics & Computational Biology (BIOCOMP)"
"2009","Respiratory Sinus Arrhythmia in 10 Year Olds - Normal and Intrauterine Growth Restricted.","BIOSIGNALS","http://dblp.org/rec/conf/biostec/BialaSWB09",14,0.000000,"International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)"
"2009","Fast Pattern Classification of Ventricular Arrhythmias Using Graphics Processing Units.","CIARP","http://dx.doi.org/10.1007/978-3-642-10268-4_71",2,0.000000,"Iberoamerican Congress on Pattern Recognition (CIARP)"
"2009","Intelligent Arrhythmia Detection Using Genetic Algorithm and Emphatic SVM (ESVM).","EMS","http://dx.doi.org/10.1109/EMS.2009.116",2,0.000000,"International Conference on Embedded Software (EMSOFT)"
"2009","ECG Arrhythmia Classification with Support Vector Machines and Genetic Algorithm.","EMS","http://dx.doi.org/10.1109/EMS.2009.39",2,0.000000,"International Conference on Embedded Software (EMSOFT)"
"2009","The Role of Blood Vessels in Rabbit Propagation Dynamics and Cardiac Arrhythmias.","FIMH","http://dx.doi.org/10.1007/978-3-642-01932-6_29",8,0.000000,"Functional Imaging and Modeling of the Heart (FIMH)"
"2009","Premature ventricular contractions, a typical extra-systole arrhythmia, lowers the scaling exponent: DFA as a beneficial biomedical computation.","Int. Conf. Interaction Sciences","http://dblp.org/rec/conf/interaction/YazawaK09",1,0.000000,"International Conference on Interaction Sciences (ICIS)"
