"year","title","venue","url","freq","IF","name"
"2006","A Minimal Model for the Respiratory Sinus Arrhythmia.","Biological Cybernetics","http://dx.doi.org/10.1007/s00422-005-0043-7",1,1.713000,"Biological Cybernetics"
"2006","A fuzzy clustering neural network architecture for classification of ECG arrhythmias.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2005.01.006",32,1.240000,"Computers in Biology and Medicine"
"2006","A new method to medical diagnosis: Artificial immune recognition system (AIRS) with fuzzy weighted pre-processing and application to ECG arrhythmia.","Expert Syst. Appl.","http://dx.doi.org/10.1016/j.eswa.2005.09.019",17,2.240000,"Expert Systems with Applications"
"2006","A New System Dedicated to Real-time Cardiac Arrhythmias Tele-assistance and Monitoring.","J. UCS","http://dx.doi.org/10.3217/jucs-012-01-0030",1,0.000000,""
"2006","Classification enhancible grey relational analysis for cardiac arrhythmias discrimination.","Med. Biol. Engineering and Computing","http://dx.doi.org/10.1007/s11517-006-0027-3",26,1.500000,"Medical and Biological Engineering and Computing"
"2006","Signal processing methods for information enhancement in atrial fibrillation: Spectral analysis and non-linear parameters.","Biomed. Signal Proc. and Control","http://dx.doi.org/10.1016/j.bspc.2006.12.003",24,1.532000,"Biomedical Signal Processing and Control"
"2006","Entrainment of the natural pacemakers of the heart precedes atrial fibrillation.","Comp. in Bio. and Med.","http://dx.doi.org/10.1016/j.compbiomed.2005.05.006",32,1.240000,"Computers in Biology and Medicine"
"2006","Comparison of atrial signal extraction algorithms in 12-lead ECGs with atrial fibrillation.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2005.862567",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","Computer modeling of ventricular rhythm during atrial fibrillation and ventricular pacing.","IEEE Trans. Biomed. Engineering","http://dx.doi.org/10.1109/TBME.2006.876627",52,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","Detection of ECG Arrhythmia using a differential expert system approach based on principal component analysis and least square support vector machine.","Applied Mathematics and Computation","http://dx.doi.org/10.1016/j.amc.2006.08.020",2,1.551000,"Applied Mathematics and Computation"
