"year","venue","title","url","freq","IF","name"
"2006","Comp. in Bio. and Med.","A fuzzy clustering neural network architecture for classification of ECG arrhythmias.","http://dblp.org/rec/journals/cbm/OzbayCK06",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2006","Computer Methods and Programs in Biomedicine","Intelligent classification of electrocardiogram (ECG) signal using extended Kalman Filter (EKF) based neuro fuzzy system.","http://dblp.org/rec/journals/cmpb/MeauINO06",38,1.897000,"Computer Methods and Programs in Biomedicine"
"2006","Expert Syst. Appl.","A new method to medical diagnosis: Artificial immune recognition system (AIRS) with fuzzy weighted pre-processing and application to ECG arrhythmia.","http://dblp.org/rec/journals/eswa/PolatSG06",41,2.377000,"IEEE Intelligent Systems"
"2006","IEEE Transactions on Information Technology in Biomedicine","Wavelet-Based Low-Delay ECG Compression Algorithm for Continuous ECG Transmission.","http://dblp.org/rec/journals/titb/KimYL06",31,0.000000,"IEEE Journal of Biomedical and Health Informatics"
"2006","Biological Cybernetics","A Minimal Model for the Respiratory Sinus Arrhythmia.","http://dblp.org/rec/journals/bc/BarbiCGBM06",1,1.713000,"Biological Cybernetics"
"2006","Biomed. Signal Proc. and Control","Differences in QT interval determined from multi-lead ambulatory ECG during rest and physical exercise.","http://dblp.org/rec/journals/bspc/LewisS06",65,1.532000,"Biomedical Signal Processing and Control"
"2006","Biomed. Signal Proc. and Control","Wavelet threshold based ECG compression using USZZQ and Huffman coding of DSM.","http://dblp.org/rec/journals/bspc/ManikandanD06",65,1.532000,"Biomedical Signal Processing and Control"
"2006","Biomed. Signal Proc. and Control","Application of projection pursuit based robust principal component analysis to ECG enhancement.","http://dblp.org/rec/journals/bspc/Kotas06",65,1.532000,"Biomedical Signal Processing and Control"
"2006","Computer Methods and Programs in Biomedicine","Recursive versus sequential multiple error measures reduction: A curve simplification approach to ECG data compression.","http://dblp.org/rec/journals/cmpb/BouchehamFB06",38,1.897000,"Computer Methods and Programs in Biomedicine"
"2006","Computer Methods and Programs in Biomedicine","A computer-aided ECG diagnostic tool.","http://dblp.org/rec/journals/cmpb/OweisH06",38,1.897000,"Computer Methods and Programs in Biomedicine"
"2006","Computer Methods and Programs in Biomedicine","Discovering dangerous patterns in long-term ambulatory ECG recordings using a fast QRS detection algorithm and explorative data analysis.","http://dblp.org/rec/journals/cmpb/PaolettiM06",38,1.897000,"Computer Methods and Programs in Biomedicine"
"2006","Digital Signal Processing","Optimal selection of wavelet basis function applied to ECG signal denoising.","http://dblp.org/rec/journals/dsp/SinghT06",22,1.256000,"Digital Signal Processing"
"2006","EURASIP J. Adv. Sig. Proc.","Subband-Adaptive Shrinkage for Denoising of ECG Signals.","http://dblp.org/rec/journals/ejasp/PoornachandraK06",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2006","Expert Syst. Appl.","A support vector machine classifier algorithm based on a perturbation method and its application to ECG beat recognition systems.","http://dblp.org/rec/journals/eswa/Acir06",41,2.377000,"IEEE Intelligent Systems"
"2006","Neurocomputing","Extraction of temporally correlated sources with its application to non-invasive fetal electrocardiogram extraction.","http://dblp.org/rec/journals/ijon/ZhangY06a",7,2.083000,"Neurocomputing"
"2006","Int. J. Systems Science","Direct data compression of ECG signal for telemedicine.","http://dblp.org/rec/journals/ijsysc/KumarSG06",1,0.000000,"International Joint Conferences on Computer, Information, and Systems Sciences, and Engineering (CISSE)"
"2006","JAMIA","Application of Information Technology: A Method for Automatic Identification of Reliable Heart Rates Calculated from ECG and PPG Waveforms.","http://dblp.org/rec/journals/jamia/YuLMRR06",1,0.000000,"Journal of the American Medical Informatics Association (JAMIA)"
"2006","J. Medical Systems","Low-Cost Compact ECG With Graphic LCD and Phonocardiogram System Design.","http://dblp.org/rec/journals/jms/KaraKK06",37,0.000000,"Journal of Medical Systems"
"2006","J. Medical Systems","Wireless Transmission of ECG signal.","http://dblp.org/rec/journals/jms/GulerF06",37,0.000000,"Journal of Medical Systems"
"2006","J. UCS","A New System Dedicated to Real-time Cardiac Arrhythmias Tele-assistance and Monitoring.","http://dblp.org/rec/journals/jucs/ZhouHGVP06",1,0.000000,""
"2006","Med. Biol. Engineering and Computing","Classification enhancible grey relational analysis for cardiac arrhythmias discrimination.","http://dblp.org/rec/journals/mbec/Lin06",33,1.500000,"Medical and Biological Engineering and Computing"
"2006","Med. Biol. Engineering and Computing","Reliability and accuracy of heart rate variability metrics versus ECG segment duration.","http://dblp.org/rec/journals/mbec/McNamesA06",33,1.500000,"Medical and Biological Engineering and Computing"
"2006","Med. Biol. Engineering and Computing","Finite difference and lead field methods in designing implantable ECG monitor.","http://dblp.org/rec/journals/mbec/VaisanenHM06",33,1.500000,"Medical and Biological Engineering and Computing"
"2006","Neural Computing and Applications","Application of independent component analysis in removing artefacts from the electrocardiogram.","http://dblp.org/rec/journals/nca/HeCT06",9,1.763000,"Neural Computing and Applications"
"2006","Pattern Recognition Letters","Comparison of extrasystolic ECG signal classifiers using discrete wavelet transforms.","http://dblp.org/rec/journals/prl/FroeseHGBC06",6,1.551000,"Pattern Recognition Letters"
"2006","IEEE Trans. Biomed. Engineering","Comparison of atrial signal extraction algorithms in 12-lead ECGs with atrial fibrillation.","http://dblp.org/rec/journals/tbe/LangleyRSMSM06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","A single-lead ECG enhancement algorithm using a regularized data-driven filter.","http://dblp.org/rec/journals/tbe/HuN06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","ECG measurement on a chair without conductive contact.","http://dblp.org/rec/journals/tbe/LimKP06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","An effective and efficient compression algorithm for ECG signals with irregular periods.","http://dblp.org/rec/journals/tbe/ChouCSK06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","A robust method for ECG-based estimation of the respiratory frequency during stress testing.","http://dblp.org/rec/journals/tbe/BailonSL06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","QT variability and HRV interactions in ECG: quantification and reliability.","http://dblp.org/rec/journals/tbe/AlmeidaGRPML06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","Delineation of T-wave in ECG by wavelet transform using multiscale differential operator.","http://dblp.org/rec/journals/tbe/ChenLK06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","An association rule mining-based methodology for automated detection of ischemic ECG beats.","http://dblp.org/rec/journals/tbe/ExarchosPFM06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","ECG signal analysis through hidden Markov models.","http://dblp.org/rec/journals/tbe/AndreaoDB06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","Multifractal ECG Mapping of Ventricular Epicardium During Regional Ischemia in the Pig.","http://dblp.org/rec/journals/tbe/ChenNNWPW06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","A Granular Description of ECG Signals.","http://dblp.org/rec/journals/tbe/GacekP06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","Sensitivity- and Effort-Gain Analysis: Multilead ECG Electrode Array Selection for Activation Time Imaging.","http://dblp.org/rec/journals/tbe/HintermullerSPFMT06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","Body Surface ECG Signal Shape Dispersion.","http://dblp.org/rec/journals/tbe/KhaddoumiRMFM06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","A Patient-Adapting Heartbeat Classifier Using ECG Morphology and Heartbeat Interval Features.","http://dblp.org/rec/journals/tbe/ChazalR06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","An Algorithm for Robust and Efficient Location of T-Wave Ends in Electrocardiograms.","http://dblp.org/rec/journals/tbe/ZhangMMPS06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE Trans. Biomed. Engineering","A Novel ECG Data Compression Method Based on Nonrecursive Discrete Periodized Wavelet Transform.","http://dblp.org/rec/journals/tbe/KuWHH06",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2006","IEEE T. Instrumentation and Measurement","A Rough-Set-Based Inference Engine for ECG Classification.","http://dblp.org/rec/journals/tim/MitraMC06",9,1.790000,"IEEE Transactions on Instrumentation and Measurement"
"2006","IEEE Transactions on Information Technology in Biomedicine","Quality Assessment of ECG Compression Techniques Using a Wavelet-Based Diagnostic Measure.","http://dblp.org/rec/journals/titb/Al-Fahoum06",31,0.000000,"IEEE Journal of Biomedical and Health Informatics"
"2006","IEEE Transactions on Information Technology in Biomedicine","Enhanced Real-Time ECG Coder for Packetized Telecardiology Applications.","http://dblp.org/rec/journals/titb/AlesancoOIG06",31,0.000000,"IEEE Journal of Biomedical and Health Informatics"
"2006","IEEE Transactions on Information Technology in Biomedicine","Combining Algorithms in Automatic Detection of QRS Complexes in ECG Signals.","http://dblp.org/rec/journals/titb/MeyerGH06",31,0.000000,"IEEE Journal of Biomedical and Health Informatics"
"2006","IEEE Transactions on Information Technology in Biomedicine","On the Use of 2-D Coding Techniques for ECG Signals.","http://dblp.org/rec/journals/titb/AlexandrePS06",31,0.000000,"IEEE Journal of Biomedical and Health Informatics"
"2006","IEEE Trans. Parallel Distrib. Syst.","Adaptive Electrocardiogram Feature Extraction on Distributed Embedded Systems.","http://dblp.org/rec/journals/tpds/JafariNGS06",1,0.000000,"IEEE Transactions on Parallel and Distributed Systems (TPDS)"
"2006","Annales UMCS, Informatica","Mining of an electrocardiogram.","http://dblp.org/rec/journals/umcs/Markowska-KaczmarK06",1,0.000000,"Annales UMCS, Informatica"
"2007","Applied Mathematics and Computation","Detection of ECG Arrhythmia using a differential expert system approach based on principal component analysis and least square support vector machine.","http://dblp.org/rec/journals/amc/PolatG07",4,1.551000,"Applied Mathematics and Computation"
"2007","EURASIP J. Adv. Sig. Proc.","Multichannel ECG and Noise Modeling: Application to Maternal and Fetal ECG Signals.","http://dblp.org/rec/journals/ejasp/SameniCJS07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","Expert Syst. Appl.","Comparison of FCM, PCA and WT techniques for classification ECG arrhythmias using artificial neural network.","http://dblp.org/rec/journals/eswa/CeylanO07",41,2.377000,"IEEE Intelligent Systems"
"2007","Biomed. Signal Proc. and Control","Shock advisory tool: Detection of life-threatening cardiac arrhythmias and shock success prediction by means of a common parameter set.","http://dblp.org/rec/journals/bspc/Jekova07",65,1.532000,"Biomedical Signal Processing and Control"
"2007","Biomed. Signal Proc. and Control","Wavelet energy based diagnostic distortion measure for ECG.","http://dblp.org/rec/journals/bspc/ManikandanD07",65,1.532000,"Biomedical Signal Processing and Control"
"2007","Biomed. Signal Proc. and Control","A training whole-heart model for simulating propagation and ECG patterns.","http://dblp.org/rec/journals/bspc/PfeiferSHHFMT07",65,1.532000,"Biomedical Signal Processing and Control"
"2007","Comp. in Bio. and Med.","Parametrical modelling of a premature ventricular contraction ECG beat: Comparison with the normal case.","http://dblp.org/rec/journals/cbm/KhansaN07",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2007","Comp. in Bio. and Med.","ECG signal compression by multi-iteration EZW coding for different wavelets and thresholds.","http://dblp.org/rec/journals/cbm/TohumogluS07",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2007","Comp. in Bio. and Med.","A comparison of algorithms for estimation of a respiratory signal from the surface electrocardiogram.","http://dblp.org/rec/journals/cbm/OBrienH07",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2007","Comp. in Bio. and Med.","Evaluation of a none compressed 12-lead ECG transmission via internet using IPSec.","http://dblp.org/rec/journals/cbm/WeiN07",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2007","Comp. in Bio. and Med.","Source localization of focal ventricular arrhythmias using linear estimation, correlation, and back propagation networks.","http://dblp.org/rec/journals/cbm/YilmazC07",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2007","Comp. in Bio. and Med.","An automatic analysis method for detecting and eliminating ECG artifacts in EEG.","http://dblp.org/rec/journals/cbm/JiangCCLTL07",42,0.000000,"International Conference on Computational Advances in Bio and Medical Sciences (ICCABS)"
"2007","Computers &amp; Electrical Engineering","A novel algorithm for wavelet based ECG signal coding.","http://dblp.org/rec/journals/cee/KumariS07",10,0.992000,"Computers &amp; Electrical Engineering"
"2007","Computer Methods and Programs in Biomedicine","Projective filtering of time-aligned ECG beats for repolarization duration measurement.","http://dblp.org/rec/journals/cmpb/Kotas07",38,1.897000,"Computer Methods and Programs in Biomedicine"
"2007","Computer Methods and Programs in Biomedicine","Automatic ECG wave extraction in long-term recordings using Gaussian mesa function models and nonlinear probability estimators.","http://dblp.org/rec/journals/cmpb/DuboisMQD07",38,1.897000,"Computer Methods and Programs in Biomedicine"
"2007","Digital Signal Processing","ECG compression method using Lorentzian functions model.","http://dblp.org/rec/journals/dsp/OuamriN07",22,1.256000,"Digital Signal Processing"
"2007","Digital Signal Processing","ECG beats classification using multiclass support vector machines with error correcting output codes.","http://dblp.org/rec/journals/dsp/Ubeyli07",22,1.256000,"Digital Signal Processing"
"2007","Eng. Appl. of AI","Comparing binary and real-valued coding in hybrid immune algorithm for feature selection and classification of ECG signals.","http://dblp.org/rec/journals/eaai/BeretaB07",3,0.000000,"International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems (IEA/AIE)"
"2007","EURASIP J. Adv. Sig. Proc.","Combining Wavelet Transform and Hidden Markov Models for ECG Segmentation.","http://dblp.org/rec/journals/ejasp/AndreaoB07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Corrected Integral Shape Averaging Applied to Obstructive Sleep Apnea Detection from the Electrocardiogram.","http://dblp.org/rec/journals/ejasp/BoudaoudRMHO07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Principal Component Analysis in ECG Signal Processing.","http://dblp.org/rec/journals/ejasp/CastellsLSBM07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Complexity-Measure-Based Sequential Hypothesis Testing for Real-Time Detection of Lethal Cardiac Arrhythmias.","http://dblp.org/rec/journals/ejasp/Chen07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Modeling of Electrocardiogram Signals Using Predefined Signature and Envelope Vector Sets.","http://dblp.org/rec/journals/ejasp/GurkanGY07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","A Simple Method for Guaranteeing ECG Quality in Real-Time Wavelet Lossy Coding.","http://dblp.org/rec/journals/ejasp/IglesiasG07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Lossless Compression Schemes for ECG Signals Using Neural Network Predictors.","http://dblp.org/rec/journals/ejasp/KannanE07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Advances in Electrocardiogram Signal Processing and Analysis.","http://dblp.org/rec/journals/ejasp/SandhamHLC07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Multiadaptive Bionic Wavelet Transform: Application to ECG Denoising and Baseline Wandering Reduction.","http://dblp.org/rec/journals/ejasp/SayadiS07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Real-Time Cardiac Arrhythmia Detection Using WOLA Filterbank Analysis of EGM Signals.","http://dblp.org/rec/journals/ejasp/SheikhzadehBS07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","EURASIP J. Adv. Sig. Proc.","Diurnal Changes of Heart Rate and Sympathovagal Activity for Temporal Patterns of Transient Ischemic Episodes in 24-Hour Electrocardiograms.","http://dblp.org/rec/journals/ejasp/SmrdelJ07",24,0.808000,"EURASIP Journal on Advances in Signal Processing"
"2007","Engineering Letters","Comparative Study of QRS Detection in Single Lead and 12-Lead Electrocardiogram using Support Vector Machine.","http://dblp.org/rec/journals/engl/MehtaL07",1,2.754000,"Engineering Letters"
"2007","Expert Systems","Detection of electrocardiogram beats using a fuzzy similarity index.","http://dblp.org/rec/journals/es/Ubeyli07a",7,2.377000,"IEEE Intelligent Systems"
"2007","Expert Syst. Appl.","A switchable scheme for ECG beat classification based on independent component analysis.","http://dblp.org/rec/journals/eswa/YuC07",41,2.377000,"IEEE Intelligent Systems"
"2007","IEICE Electronic Express","Adaptive motion artifacts reduction algorithm for ECG signal in textile wearable sensor.","http://dblp.org/rec/journals/ieiceee/YoonSML07",3,0.000000,"IEICE Electronic Express"
"2007","I. J. Bifurcation and Chaos","Time Series Analysis of ECG: a Possibility of the Initial Diagnostics.","http://dblp.org/rec/journals/ijbc/LoskutovM07",3,1.078000,"International Journal of Bifurcation and Chaos"
"2007","IJEH","A wireless ECG monitoring system for pervasive healthcare.","http://dblp.org/rec/journals/ijeh/SnehaV07",1,0.000000,"International Journal of E-Health and Medical Communications (IJEHMC)"
"2007","IJHPCA","Lossless and Near-Lossless Compression of Ecg Signals with Block-Sorting Techniques.","http://dblp.org/rec/journals/ijhpca/Arnavut07",1,1.625000,"International Journal of High Performance Computing Applications"
"2007","Neurocomputing","Semi-blind source extraction for fetal electrocardiogram extraction by combining non-Gaussianity and time-correlation.","http://dblp.org/rec/journals/ijon/ShiZ07",7,2.083000,"Neurocomputing"
"2007","IJPRAI","Choosing Real-Time Predictors for Ventricular Arrhythmia Detection.","http://dblp.org/rec/journals/ijprai/RibeiroMHA07",1,0.000000,"International Journal of Pattern Recognition and Artificial Intelligence (IJPRAI)"
"2007","IJWMIP","De-Noising and Baseline Wandering Removal of Electrocardiogram Using Double Density Discrete Wavelet.","http://dblp.org/rec/journals/ijwmip/KumariS07",4,0.000000,"International Journal of Wavelets, Multiresolution and Information Processing (IJWMIP)"
"2007","J. Inform. and Commun. Convergence Engineering","An ECG Monitoring and Analysis Method for Ubiquitous Healthcare System in WSN.","http://dblp.org/rec/journals/jicce/BhardwajLC07",2,0.000000,"Journal of Information and Communication Convergence Engineering"
"2007","J. Inform. and Commun. Convergence Engineering","A Combined QRS-complex and P-wave Detection in ECG Signal for Ubiquitous Healthcare System.","http://dblp.org/rec/journals/jicce/BhardwajLC07a",2,0.000000,"Journal of Information and Communication Convergence Engineering"
"2007","Kybernetes","Hyperbox classifiers for arrhythmia classification.","http://dblp.org/rec/journals/kybernetes/BortolanP07",1,0.416000,"Kybernetes"
"2007","Med. Biol. Engineering and Computing","Algorithm for the classification of multi-modulating signals on the electrocardiogram.","http://dblp.org/rec/journals/mbec/Mita07",33,1.500000,"Medical and Biological Engineering and Computing"
"2007","Med. Biol. Engineering and Computing","Adaptive spatio-temporal filtering of disturbed ECGs: a multi-channel approach to heartbeat detection in smart clothing.","http://dblp.org/rec/journals/mbec/WiklundKOBLKS07",33,1.500000,"Medical and Biological Engineering and Computing"
"2007","Med. Biol. Engineering and Computing","Extraction of fetal electrocardiogram using H ∞ adaptive algorithms.","http://dblp.org/rec/journals/mbec/Puthusserypady07",33,1.500000,"Medical and Biological Engineering and Computing"
"2007","Med. Biol. Engineering and Computing","Wireless and inductively powered implant for measuring electrocardiogram.","http://dblp.org/rec/journals/mbec/RiistamaVHHAKMKHKa07",33,1.500000,"Medical and Biological Engineering and Computing"
"2007","Nucleic Acids Research","ECgene: an alternative splicing database update.","http://dblp.org/rec/journals/nar/LeeLKSNKKCKL07",1,9.112000,"Nucleic Acids Research"
"2007","Pattern Recognition Letters","Electrocardiogram beat classification based on wavelet transformation and probabilistic neural network.","http://dblp.org/rec/journals/prl/YuC07",6,1.551000,"Pattern Recognition Letters"
"2007","Pattern Recognition Letters","Verification of humans using the electrocardiogram.","http://dblp.org/rec/journals/prl/WubbelerSKBE07",6,1.551000,"Pattern Recognition Letters"
"2007","Signal Processing","Development of entropy based algorithm for cardiac beat detection in 12-lead electrocardiogram.","http://dblp.org/rec/journals/sigpro/MehtaL07",5,2.787000,"IEEE Transactions on Signal Processing"
"2007","IEEE Signal Process. Lett.","Electrocardiogram Compression Method Based on the Adaptive Wavelet Coefficients Quantization Combined to a Modified Two-Role Encoder.","http://dblp.org/rec/journals/spl/BenzidMB07",6,1.751000,"IEEE Signal Processing Letters"
"2007","IEEE Trans. Biomed. Engineering","A Novel Extraction Method of Fetal Electrocardiogram From the Composite Abdominal Signal.","http://dblp.org/rec/journals/tbe/SatoKCIKON07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","Extraction of Fetal Electrocardiogram Using Adaptive Neuro-Fuzzy Inference Systems.","http://dblp.org/rec/journals/tbe/Assaleh07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","ECG Signal Compression Based on Burrows-Wheeler Transformation and Inversion Ranks of Linear Prediction.","http://dblp.org/rec/journals/tbe/Arnavut07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","Cancellation of Ventricular Activity in the ECG: Evaluation of Novel and Existing Methods.","http://dblp.org/rec/journals/tbe/LemayVOJK07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","Noise Cancellation Signal Processing Method and Computer System for Improved Real-Time Electrocardiogram Artifact Correction During MRI Data Acquisition.","http://dblp.org/rec/journals/tbe/OdillePAVZF07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","ECG Beat Detection Using a Geometrical Matching Approach.","http://dblp.org/rec/journals/tbe/SuarezSBGN07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","Electrocardiogram Based Neonatal Seizure Detection.","http://dblp.org/rec/journals/tbe/GreeneCBCR07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","ECG Recording on a Bed During Sleep Without Direct Skin-Contact.","http://dblp.org/rec/journals/tbe/LimKP07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
"2007","IEEE Trans. Biomed. Engineering","Wavelet Packets Feasibility Study for the Design of an ECG Compressor.","http://dblp.org/rec/journals/tbe/Blanco-VelascoCGB07",114,2.347000,"IEEE Transactions on Biomedical Engineering"
