se,sp,ppv,acc,se(sp95),se(sp99),tp,tn,fp,fn,C,gamma
0.692660550459,0.787294633078,0.23723487824,0.779044191162,0.0435779816514,0.00917431192661,302,3594,971,134,0.1,0.001
0.711009174312,0.792113910186,0.246227164416,0.785042991402,0.0779816513761,0.0045871559633,310,3616,949,126,0.1,0.001
0.704128440367,0.802847754655,0.254349627175,0.79424115177,0.0733944954128,0.00688073394495,307,3665,900,129,0.1,0.001
0.720183486239,0.784884994524,0.242283950617,0.77924415117,0.0412844036697,0.00688073394495,314,3583,982,122,0.1,0.001
0.747706422018,0.798685651698,0.261847389558,0.79424115177,0.0825688073394,0.00688073394495,326,3646,919,110,0.1,0.001
0.738532110092,0.796714129244,0.2576,0.791641671666,0.0619266055046,0.0137614678899,322,3637,928,114,0.1,0.001
0.715596330275,0.792990142388,0.248210023866,0.78624275145,0.0665137614679,0.0137614678899,312,3620,945,124,0.1,0.001
0.729357798165,0.790142387733,0.24921630094,0.784843031394,0.0711009174312,0.00688073394495,318,3607,958,118,0.1,0.001
0.733944954128,0.792113910186,0.252167060678,0.787042591482,0.0504587155963,0.00688073394495,320,3616,949,116,0.1,0.001
0.706422018349,0.78860898138,0.241948153967,0.781443711258,0.0642201834862,0.0114678899083,308,3600,965,128,0.1,0.001
